timestamp,temperature,humidity_air,humidity_soil,light,temp_futura_5m,hour,minute_of_day
2025-11-17 20:30:27-06:00,20.6,69,264,5.0,20.6,20,1230
2025-11-17 20:33:23-06:00,20.6,71,191,5.8,20.5,20,1233
2025-11-17 20:33:28-06:00,20.6,71,191,5.0,20.2,20,1233
2025-11-17 20:33:33-06:00,20.6,71,191,5.0,20.2,20,1233
2025-11-17 20:33:38-06:00,20.6,70,191,11.7,20.2,20,1233
2025-11-17 20:33:43-06:00,20.6,70,190,0.8,20.2,20,1233
2025-11-17 20:33:48-06:00,20.6,70,270,1.7,20.3,20,1233
2025-11-17 20:33:53-06:00,20.6,69,246,0.8,20.6,20,1233
2025-11-17 20:34:33-06:00,20.6,69,203,56.7,20.5,20,1234
2025-11-17 20:34:38-06:00,20.6,69,202,55.8,20.4,20,1234
2025-11-17 20:34:43-06:00,20.6,70,203,4.2,20.3,20,1234
2025-11-17 20:37:54-06:00,20.4,65,198,51.7,20.6,20,1237
2025-11-17 20:37:59-06:00,20.5,65,198,56.7,20.6,20,1237
2025-11-17 20:40:55-06:00,20.5,67,198,50.0,20.6,20,1240
2025-11-17 20:41:00-06:00,20.6,68,198,53.3,20.6,20,1241
2025-11-17 20:41:05-06:00,20.6,69,197,53.3,20.6,20,1241
2025-11-17 20:41:10-06:00,20.6,67,197,52.5,20.6,20,1241
2025-11-17 20:43:36-06:00,20.6,71,197,50.0,20.2,20,1243
2025-11-17 20:43:41-06:00,20.6,69,197,50.8,20.2,20,1243
2025-11-17 20:43:46-06:00,20.6,65,197,262.5,20.2,20,1243
2025-11-17 20:43:51-06:00,20.6,63,198,2576.7,20.2,20,1243
2025-11-17 20:45:45-06:00,20.6,62,230,5.0,20.2,20,1245
2025-11-17 20:45:50-06:00,20.6,63,228,5.0,20.2,20,1245
2025-11-17 20:45:55-06:00,20.6,62,228,5.0,20.2,20,1245
2025-11-17 20:46:00-06:00,20.6,63,227,5.0,20.2,20,1246
2025-11-17 20:46:05-06:00,20.6,64,227,5.0,20.4,20,1246
2025-11-17 20:46:10-06:00,20.6,63,227,5.0,20.6,20,1246
2025-11-17 20:46:16-06:00,20.6,64,227,34.2,20.6,20,1246
2025-11-17 20:48:22-06:00,20.2,65,227,4.2,20.6,20,1248
2025-11-17 20:49:26-06:00,20.2,69,255,5.0,20.6,20,1249
2025-11-17 20:49:31-06:00,20.2,68,253,6.7,20.6,20,1249
2025-11-17 20:49:36-06:00,20.2,65,250,6.7,20.6,20,1249
2025-11-17 20:49:41-06:00,20.2,65,249,6.7,20.6,20,1249
2025-11-17 20:51:16-06:00,20.6,70,198,4.2,20.6,20,1251
2025-11-17 20:53:22-06:00,20.6,56,194,4.2,20.2,20,1253
2025-11-17 20:53:27-06:00,20.6,53,194,4.2,20.2,20,1253
2025-11-17 20:53:32-06:00,20.4,52,194,4.2,20.2,20,1253
2025-11-17 20:54:47-06:00,20.6,62,196,4.2,20.2,20,1254
2025-11-17 20:54:52-06:00,20.6,60,194,5.0,20.2,20,1254
2025-11-17 20:55:53-06:00,20.6,61,214,5.8,20.2,20,1255
2025-11-17 20:56:58-06:00,20.2,60,204,5.0,20.2,20,1256
2025-11-17 20:57:43-06:00,20.2,58,207,8.3,20.2,20,1257
2025-11-17 20:57:48-06:00,20.2,58,208,8.3,20.2,20,1257
2025-11-17 20:57:53-06:00,20.2,56,205,8.3,20.2,20,1257
2025-11-17 20:57:58-06:00,20.2,56,205,8.3,20.2,20,1257
2025-11-17 20:58:38-06:00,20.2,57,206,8.3,20.2,20,1258
2025-11-17 21:00:04-06:00,20.2,59,206,6.7,20.2,21,1260
2025-11-17 21:00:09-06:00,20.2,60,205,6.7,20.2,21,1260
2025-11-17 21:00:14-06:00,20.2,61,203,6.7,20.2,21,1260
2025-11-17 21:00:19-06:00,20.2,61,206,6.7,20.2,21,1260
2025-11-17 21:00:24-06:00,20.2,62,206,6.7,20.2,21,1260
2025-11-17 21:00:29-06:00,20.2,62,206,6.7,20.2,21,1260
2025-11-17 21:00:34-06:00,20.2,62,205,6.7,20.2,21,1260
2025-11-17 21:04:20-06:00,20.2,57,211,4.2,19.9,21,1264
2025-11-17 21:04:25-06:00,20.2,55,211,4.2,19.8,21,1264
2025-11-17 21:04:30-06:00,20.2,54,211,4.2,19.9,21,1264
2025-11-17 21:04:35-06:00,20.2,55,211,4.2,19.9,21,1264
2025-11-17 21:04:40-06:00,20.2,57,211,4.2,19.8,21,1264
2025-11-17 21:04:46-06:00,20.2,59,208,4.2,19.8,21,1264
2025-11-17 21:04:51-06:00,20.2,59,211,4.2,19.8,21,1264
2025-11-17 21:07:31-06:00,20.2,58,210,5.0,19.8,21,1267
2025-11-17 21:07:36-06:00,20.2,57,210,5.0,19.8,21,1267
2025-11-17 21:07:41-06:00,20.2,58,211,5.0,19.8,21,1267
2025-11-17 21:07:46-06:00,20.2,56,209,4.2,19.8,21,1267
2025-11-17 21:07:51-06:00,20.2,55,210,4.2,19.8,21,1267
2025-11-17 21:11:07-06:00,19.8,59,211,5.0,19.8,21,1271
2025-11-17 21:12:02-06:00,19.8,61,210,4.2,19.8,21,1272
2025-11-17 21:12:07-06:00,19.8,60,210,5.0,19.8,21,1272
2025-11-17 21:13:08-06:00,19.8,58,210,5.0,19.8,21,1273
2025-11-17 21:13:13-06:00,19.8,58,210,4.2,19.8,21,1273
2025-11-17 21:13:18-06:00,19.8,58,210,4.2,19.8,21,1273
2025-11-17 21:13:23-06:00,19.8,58,209,5.0,19.8,21,1273
2025-11-17 21:13:28-06:00,19.8,59,210,4.2,19.8,21,1273
2025-11-17 21:13:33-06:00,19.8,59,211,4.2,19.8,21,1273
2025-11-17 21:13:38-06:00,19.8,59,210,5.0,19.8,21,1273
2025-11-17 21:13:43-06:00,19.8,60,210,5.0,19.8,21,1273
2025-11-17 21:19:24-06:00,19.8,63,210,5.0,19.8,21,1279
2025-11-17 21:19:29-06:00,19.8,63,210,5.0,19.8,21,1279
2025-11-17 21:19:34-06:00,19.8,63,209,4.2,19.8,21,1279
2025-11-17 21:19:39-06:00,19.8,62,210,5.0,19.8,21,1279
2025-11-17 21:19:44-06:00,19.8,62,210,5.0,19.8,21,1279
2025-11-17 21:19:49-06:00,19.8,62,210,5.0,19.8,21,1279
2025-11-17 21:25:06-06:00,19.8,65,210,5.0,19.8,21,1285
2025-11-17 21:25:11-06:00,19.8,65,210,5.0,19.8,21,1285
2025-11-17 21:26:06-06:00,19.8,61,209,5.0,19.8,21,1286
2025-11-17 21:26:11-06:00,19.8,59,210,5.0,19.8,21,1286
2025-11-17 21:27:12-06:00,19.8,60,209,5.0,19.8,21,1287
2025-11-17 21:29:27-06:00,19.8,63,209,5.0,19.8,21,1289
2025-11-17 21:29:32-06:00,19.8,63,209,5.0,19.8,21,1289
